Order ID,Order Date,Customer Name,Country,State,City,Region,Segment,Ship Mode,Category,Sub-Category,Product Name,Discount,Sales,Profit,Quantity,Feedback?,Year,Month,Profit_Margin
AZ-2011-5702370,2011-01-12,Hershel Snyder,Germany,Lower Saxony,Lohne,Central,Corporate,Economy,Office Supplies,Binders,"Ibico Index Tab, Clear",0.0,17.0,6.0,2,False,2011,1,0.35294117647058826
AZ-2011-5702370,2011-01-12,Hershel Snyder,Germany,Lower Saxony,Lohne,Central,Corporate,Economy,Technology,Machines,"Epson Printer, White",0.0,522.0,21.0,2,True,2011,1,0.040229885057471264
AZ-2011-9927716,2011-01-12,Julia Martell,United Kingdom,England,Leicester,North,Home Office,Economy,Furniture,Chairs,"Hon Chairmat, Adjustable",0.0,290.0,70.0,5,False,2011,1,0.2413793103448276
AZ-2011-2222024,2011-01-12,Viola Watson,United Kingdom,England,Sheffield,North,Consumer,Priority,Office Supplies,Paper,"Green Bar Note Cards, Multicolor",0.5,34.0,-6.0,2,True,2011,1,-0.17647058823529413
BN-2011-4913858,2011-01-13,Julian Dobie,Netherlands,South Holland,Dordrecht,Central,Consumer,Economy,Office Supplies,Binders,"Wilson Jones Hole Reinforcements, Durable",0.5,9.0,-3.0,3,True,2011,1,-0.3333333333333333
BN-2011-4913858,2011-01-13,Julian Dobie,Netherlands,South Holland,Dordrecht,Central,Consumer,Economy,Office Supplies,Labels,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",0.5,22.0,-12.0,4,True,2011,1,-0.5454545454545454
BN-2011-4913858,2011-01-13,Julian Dobie,Netherlands,South Holland,Dordrecht,Central,Consumer,Economy,Office Supplies,Paper,"Green Bar Cards & Envelopes, Multicolor",0.5,50.0,-38.0,2,False,2011,1,-0.76
BN-2011-4913858,2011-01-13,Julian Dobie,Netherlands,South Holland,Dordrecht,Central,Consumer,Economy,Office Supplies,Storage,"Smead Lockers, Blue",0.5,198.0,-131.0,2,False,2011,1,-0.6616161616161617
BN-2011-2807470,2011-01-13,Rose Heap,Sweden,Västra Götaland,Gothenburg,North,Consumer,Economy,Office Supplies,Art,"Sanford Pens, Fluorescent",0.5,31.0,-14.0,5,True,2011,1,-0.45161290322580644
AZ-2011-5960662,2011-01-14,Ella Troy,Austria,Vienna,Vienna,Central,Home Office,Economy,Office Supplies,Paper,"Xerox Message Books, Premium",0.0,224.0,103.0,11,False,2011,1,0.45982142857142855
AZ-2011-5960662,2011-01-14,Ella Troy,Austria,Vienna,Vienna,Central,Home Office,Economy,Technology,Machines,"StarTech Card Printer, White",0.0,486.0,78.0,3,False,2011,1,0.16049382716049382
AZ-2011-5960662,2011-01-14,Ella Troy,Austria,Vienna,Vienna,Central,Home Office,Economy,Technology,Phones,"Apple Headset, with Caller ID",0.0,440.0,66.0,6,False,2011,1,0.15
AZ-2011-7675351,2011-01-15,Everett Dunbar,Germany,Lower Saxony,Langen,Central,Corporate,Economy Plus,Office Supplies,Appliances,"Cuisinart Microwave, White",0.1,249.0,3.0,1,True,2011,1,0.012048192771084338
AZ-2011-7675351,2011-01-15,Everett Dunbar,Germany,Lower Saxony,Langen,Central,Corporate,Economy Plus,Office Supplies,Labels,"Harbour Creations Removable Labels, 5000 Label Set",0.0,21.0,7.0,2,True,2011,1,0.3333333333333333
AZ-2011-7675351,2011-01-15,Everett Dunbar,Germany,Lower Saxony,Langen,Central,Corporate,Economy Plus,Office Supplies,Paper,"Green Bar Computer Printout Paper, 8.5 x 11",0.0,170.0,25.0,5,True,2011,1,0.14705882352941177
AZ-2011-7675351,2011-01-15,Everett Dunbar,Germany,Lower Saxony,Langen,Central,Corporate,Economy Plus,Office Supplies,Supplies,"Elite Letter Opener, Easy Grip",0.0,55.0,2.0,2,False,2011,1,0.03636363636363636
AZ-2011-7675351,2011-01-15,Everett Dunbar,Germany,Lower Saxony,Langen,Central,Corporate,Economy Plus,Technology,Copiers,"Hewlett Copy Machine, Laser",0.0,527.0,11.0,2,True,2011,1,0.020872865275142316
BN-2011-3770060,2011-01-17,Georgia Bermingham,Denmark,Hovedstaden,Copenhagen,North,Home Office,Economy,Office Supplies,Labels,"Hon Shipping Labels, Laser Printer Compatible",0.5,17.0,-8.0,3,False,2011,1,-0.47058823529411764
AZ-2011-7419210,2011-01-18,Christopher Goold,Spain,Valenciana,Gandia,South,Corporate,Priority,Office Supplies,Fasteners,"Stockwell Thumb Tacks, Bulk Pack",0.0,108.0,33.0,8,True,2011,1,0.3055555555555556
AZ-2011-1816950,2011-01-18,John Baca,Denmark,South Denmark,Esbjerg,North,Consumer,Economy Plus,Office Supplies,Binders,"Acco Binding Machine, Economy",0.5,26.0,-11.0,1,False,2011,1,-0.4230769230769231
AZ-2011-3059419,2011-01-19,Kai Leonard,Italy,Lombardy,Sesto San Giovanni,South,Corporate,Priority,Office Supplies,Envelopes,"GlobeWeis Business Envelopes, Recycled",0.0,48.0,21.0,3,False,2011,1,0.4375
AZ-2011-5342265,2011-01-19,Jennifer Mattingly,Italy,Sicily,Trapani,South,Home Office,Priority,Office Supplies,Binders,"Wilson Jones Binding Machine, Clear",0.0,145.0,44.0,3,True,2011,1,0.30344827586206896
AZ-2011-5342265,2011-01-19,Jennifer Mattingly,Italy,Sicily,Trapani,South,Home Office,Priority,Office Supplies,Storage,"Fellowes Folders, Blue",0.4,48.0,8.0,3,False,2011,1,0.16666666666666666
AZ-2011-2002251,2011-01-20,Nathan Iqbal,France,Ile-de-France,Villiers-sur-Marne,Central,Consumer,Economy,Office Supplies,Art,"Boston Pencil Sharpener, Water Color",0.0,58.0,8.0,2,True,2011,1,0.13793103448275862
AZ-2011-5357101,2011-01-21,Noah Chamberlain,Germany,North Rhine-Westphalia,Bielefeld,Central,Consumer,Economy,Technology,Accessories,"Memorex Router, Programmable",0.0,495.0,233.0,2,False,2011,1,0.4707070707070707
AZ-2011-2245674,2011-01-22,Dylan Disney,Belgium,Flemish Brabant,Leuven,Central,Home Office,Economy,Office Supplies,Binders,"Avery Index Tab, Clear",0.0,12.0,3.0,2,True,2011,1,0.25
AZ-2011-2245674,2011-01-22,Dylan Disney,Belgium,Flemish Brabant,Leuven,Central,Home Office,Economy,Office Supplies,Storage,"Tenex File Cart, Blue",0.0,666.0,120.0,5,True,2011,1,0.18018018018018017
AZ-2011-8034411,2011-01-22,Melissa Bean,Italy,Tuscany,Prato,South,Home Office,Economy,Furniture,Bookcases,"Bush Classic Bookcase, Traditional",0.0,825.0,338.0,2,True,2011,1,0.40969696969696967
AZ-2011-8034411,2011-01-22,Melissa Bean,Italy,Tuscany,Prato,South,Home Office,Economy,Office Supplies,Art,"Boston Canvas, Easy-Erase",0.0,54.0,12.0,1,True,2011,1,0.2222222222222222
AZ-2011-8034411,2011-01-22,Melissa Bean,Italy,Tuscany,Prato,South,Home Office,Economy,Office Supplies,Storage,"Rogers Lockers, Single Width",0.4,889.0,59.0,7,True,2011,1,0.06636670416197975
AZ-2011-6684426,2011-01-24,Vaughn Gibbs,Italy,Sicily,Gela,South,Home Office,Economy Plus,Office Supplies,Art,"Boston Markers, Fluorescent",0.0,28.0,4.0,1,False,2011,1,0.14285714285714285
BN-2011-7883641,2011-01-24,William Horton,Italy,Emilia-Romagna,Bologna,South,Consumer,Priority,Furniture,Chairs,"Harbour Creations Swivel Stool, Set of Two",0.6,73.0,-57.0,1,True,2011,1,-0.7808219178082192
BN-2011-7883641,2011-01-24,William Horton,Italy,Emilia-Romagna,Bologna,South,Consumer,Priority,Furniture,Chairs,"Office Star Bag Chairs, Set of Two",0.6,69.0,-95.0,3,False,2011,1,-1.3768115942028984
BN-2011-7883641,2011-01-24,William Horton,Italy,Emilia-Romagna,Bologna,South,Consumer,Priority,Office Supplies,Fasteners,"Advantus Staples, 12 Pack",0.0,41.0,3.0,4,True,2011,1,0.07317073170731707
BN-2011-7883641,2011-01-24,William Horton,Italy,Emilia-Romagna,Bologna,South,Consumer,Priority,Office Supplies,Labels,"Harbour Creations Color Coded Labels, Adjustable",0.0,54.0,8.0,5,True,2011,1,0.14814814814814814
BN-2011-7883641,2011-01-24,William Horton,Italy,Emilia-Romagna,Bologna,South,Consumer,Priority,Office Supplies,Paper,"SanDisk Memo Slips, Multicolor",0.0,55.0,3.0,3,False,2011,1,0.05454545454545454
AZ-2011-4205736,2011-01-25,David Harney,Germany,North Rhine-Westphalia,Menden,Central,Corporate,Economy,Furniture,Furnishings,"Advantus Light Bulb, Duo Pack",0.0,20.0,4.0,1,True,2011,1,0.2
AZ-2011-4205736,2011-01-25,David Harney,Germany,North Rhine-Westphalia,Menden,Central,Corporate,Economy,Office Supplies,Binders,"Cardinal Binder, Clear",0.0,133.0,4.0,10,False,2011,1,0.03007518796992481
AZ-2011-5010109,2011-01-25,Walter Coley,France,Ile-de-France,Maisons-Alfort,Central,Consumer,Economy,Office Supplies,Art,"Stanley Markers, Water Color",0.0,178.0,59.0,7,True,2011,1,0.33146067415730335
AZ-2011-201891,2011-01-26,Lori Miller,Spain,Madrid,Madrid,South,Consumer,Economy,Office Supplies,Labels,"Smead Removable Labels, 5000 Label Set",0.0,32.0,10.0,3,False,2011,1,0.3125
AZ-2011-5708655,2011-01-26,Hayley Baldwinson,Norway,Oslo,Oslo,North,Consumer,Economy,Office Supplies,Binders,"Acco Binder Covers, Clear",0.0,13.0,5.0,1,False,2011,1,0.38461538461538464
AZ-2011-5708655,2011-01-26,Hayley Baldwinson,Norway,Oslo,Oslo,North,Consumer,Economy,Office Supplies,Binders,"Avery Binder, Economy",0.0,52.0,20.0,4,True,2011,1,0.38461538461538464
AZ-2011-5708655,2011-01-26,Hayley Baldwinson,Norway,Oslo,Oslo,North,Consumer,Economy,Technology,Accessories,"Memorex Flash Drive, Bluetooth",0.0,88.0,18.0,3,True,2011,1,0.20454545454545456
BN-2011-6722454,2011-01-26,Joseph Locke,Portugal,Lisboa,Lisbon,South,Corporate,Economy,Technology,Copiers,"Hewlett Wireless Fax, Laser",0.5,570.0,-217.0,3,True,2011,1,-0.38070175438596493
BN-2011-486854,2011-01-28,Gracie Hicks,France,Provence-Alpes-Côte d'Azur,Draguignan,Central,Consumer,Economy,Office Supplies,Storage,"Rogers Folders, Single Width",0.1,28.0,-1.0,1,True,2011,1,-0.03571428571428571
AZ-2011-2825684,2011-02-01,Hollie Norris,Germany,North Rhine-Westphalia,Halle,Central,Consumer,Economy,Office Supplies,Binders,"Acco Hole Reinforcements, Recycled",0.0,21.0,11.0,3,False,2011,2,0.5238095238095238
AZ-2011-2825684,2011-02-01,Hollie Norris,Germany,North Rhine-Westphalia,Halle,Central,Consumer,Economy,Office Supplies,Binders,"Avery Hole Reinforcements, Durable",0.0,12.0,4.0,2,True,2011,2,0.3333333333333333
AZ-2011-494581,2011-02-01,Kiara Allen,Italy,Emilia-Romagna,Parma,South,Consumer,Economy,Office Supplies,Art,"Sanford Pencil Sharpener, Water Color",0.0,78.0,20.0,3,True,2011,2,0.2564102564102564
AZ-2011-838467,2011-02-02,Ronald Everson,Germany,Saxony,Dresden,Central,Corporate,Priority,Office Supplies,Paper,"Xerox Note Cards, Premium",0.5,13.0,-8.0,1,False,2011,2,-0.6153846153846154
AZ-2011-838467,2011-02-02,Ronald Everson,Germany,Saxony,Dresden,Central,Corporate,Priority,Technology,Phones,"Motorola Signal Booster, Cordless",0.5,584.0,-59.0,8,True,2011,2,-0.10102739726027397
AZ-2011-4987681,2011-02-02,Daryl Claypool,Spain,Andalusía,Seville,South,Corporate,Economy Plus,Office Supplies,Supplies,"Acme Box Cutter, High Speed",0.0,38.0,18.0,1,True,2011,2,0.47368421052631576
AZ-2011-4987681,2011-02-02,Daryl Claypool,Spain,Andalusía,Seville,South,Corporate,Economy Plus,Technology,Phones,"Cisco Smart Phone, Full Size",0.1,587.0,104.0,1,True,2011,2,0.17717206132879046
AZ-2011-4614904,2011-02-02,Caleb Kenyon,Spain,Valenciana,Torrevieja,South,Corporate,Priority,Office Supplies,Art,"Boston Highlighters, Water Color",0.0,44.0,8.0,2,True,2011,2,0.18181818181818182
AZ-2011-7043718,2011-02-02,Winnie Moss,Spain,Catalonia,Barcelona,South,Consumer,Economy Plus,Furniture,Bookcases,"Ikea Library with Doors, Pine",0.0,729.0,241.0,2,False,2011,2,0.33058984910836764
AZ-2011-7043718,2011-02-02,Winnie Moss,Spain,Catalonia,Barcelona,South,Consumer,Economy Plus,Furniture,Chairs,"SAFCO Steel Folding Chair, Black",0.2,266.0,23.0,4,True,2011,2,0.08646616541353383
AZ-2011-7043718,2011-02-02,Winnie Moss,Spain,Catalonia,Barcelona,South,Consumer,Economy Plus,Office Supplies,Art,"BIC Canvas, Water Color",0.0,57.0,1.0,1,True,2011,2,0.017543859649122806
AZ-2011-7043718,2011-02-02,Winnie Moss,Spain,Catalonia,Barcelona,South,Consumer,Economy Plus,Office Supplies,Art,"Sanford Pencil Sharpener, Water Color",0.0,116.0,13.0,4,False,2011,2,0.11206896551724138
AZ-2011-4696725,2011-02-02,Courtney Hancock,United Kingdom,England,London,North,Consumer,Priority,Technology,Phones,"Cisco Headset, Full Size",0.1,162.0,43.0,2,True,2011,2,0.2654320987654321
BN-2011-2468159,2011-02-02,Brandon Preston,France,Alsace-Champagne-Ardenne-Lorraine,Reims,Central,Consumer,Economy,Office Supplies,Paper,"SanDisk Memo Slips, Multicolor",0.5,46.0,-41.0,5,False,2011,2,-0.8913043478260869
BN-2011-2468159,2011-02-02,Brandon Preston,France,Alsace-Champagne-Ardenne-Lorraine,Reims,Central,Consumer,Economy,Technology,Accessories,"Logitech Numeric Keypad, Erganomic",0.5,44.0,-8.0,2,False,2011,2,-0.18181818181818182
BN-2011-2468159,2011-02-02,Brandon Preston,France,Alsace-Champagne-Ardenne-Lorraine,Reims,Central,Consumer,Economy,Technology,Copiers,"Hewlett Copy Machine, Color",0.7,550.0,-236.0,6,False,2011,2,-0.4290909090909091
BN-2011-2468159,2011-02-02,Brandon Preston,France,Alsace-Champagne-Ardenne-Lorraine,Reims,Central,Consumer,Economy,Technology,Machines,"Konica Phone, White",0.7,89.0,-76.0,3,True,2011,2,-0.8539325842696629
BN-2011-9336144,2011-02-02,Lara Stoate,Germany,Bavaria,Rosenheim,Central,Corporate,Immediate,Office Supplies,Storage,"Fellowes File Cart, Industrial",0.1,248.0,8.0,2,False,2011,2,0.03225806451612903
BN-2011-9336144,2011-02-02,Lara Stoate,Germany,Bavaria,Rosenheim,Central,Corporate,Immediate,Technology,Copiers,"Brother Wireless Fax, Laser",0.0,379.0,140.0,1,False,2011,2,0.36939313984168864
BN-2011-7087921,2011-02-03,Max Ludwig,Sweden,Uppsala,Uppsala,North,Home Office,Economy Plus,Office Supplies,Art,"Boston Pencil Sharpener, Easy-Erase",0.5,91.0,-62.0,6,False,2011,2,-0.6813186813186813
AZ-2011-6835828,2011-02-04,Summer Hayward,France,Provence-Alpes-Côte d'Azur,Nice,Central,Consumer,Economy,Office Supplies,Storage,"Tenex Shelving, Industrial",0.1,149.0,15.0,3,True,2011,2,0.10067114093959731
AZ-2011-2397035,2011-02-07,Millie Newman,France,Nord-Pas-de-Calais-Picardie,Boulogne-sur-Mer,Central,Consumer,Economy,Office Supplies,Art,"Stanley Pencil Sharpener, Water Color",0.0,112.0,4.0,4,False,2011,2,0.03571428571428571
AZ-2011-2397035,2011-02-07,Millie Newman,France,Nord-Pas-de-Calais-Picardie,Boulogne-sur-Mer,Central,Consumer,Economy,Office Supplies,Binders,"Avery Binder Covers, Durable",0.0,50.0,6.0,4,True,2011,2,0.12
AZ-2011-2397035,2011-02-07,Millie Newman,France,Nord-Pas-de-Calais-Picardie,Boulogne-sur-Mer,Central,Consumer,Economy,Technology,Machines,"Konica Receipt Printer, Wireless",0.2,208.0,12.0,2,True,2011,2,0.057692307692307696
AZ-2011-9421435,2011-02-07,Larry Klaus,France,Provence-Alpes-Côte d'Azur,La Crau,Central,Corporate,Economy,Office Supplies,Labels,"Novimex Legal Exhibit Labels, Laser Printer Compatible",0.0,31.0,11.0,3,True,2011,2,0.3548387096774194
AZ-2011-2956456,2011-02-08,Shelby Dunston,Italy,Tuscany,Siena,South,Consumer,Economy,Office Supplies,Fasteners,"Stockwell Clamps, 12 Pack",0.0,110.0,22.0,6,False,2011,2,0.2
AZ-2011-9107304,2011-02-09,Erin Gill,Spain,Catalonia,Barcelona,South,Home Office,Economy,Furniture,Bookcases,"Ikea Corner Shelving, Metal",0.0,368.0,15.0,3,True,2011,2,0.04076086956521739
AZ-2011-9107304,2011-02-09,Erin Gill,Spain,Catalonia,Barcelona,South,Home Office,Economy,Office Supplies,Art,"Binney & Smith Sketch Pad, Blue",0.0,93.0,24.0,2,False,2011,2,0.25806451612903225
AZ-2011-9107304,2011-02-09,Erin Gill,Spain,Catalonia,Barcelona,South,Home Office,Economy,Office Supplies,Binders,"Cardinal 3-Hole Punch, Clear",0.0,85.0,18.0,3,False,2011,2,0.21176470588235294
AZ-2011-9107304,2011-02-09,Erin Gill,Spain,Catalonia,Barcelona,South,Home Office,Economy,Office Supplies,Fasteners,"Stockwell Rubber Bands, 12 Pack",0.0,48.0,5.0,3,False,2011,2,0.10416666666666667
AZ-2011-9107304,2011-02-09,Erin Gill,Spain,Catalonia,Barcelona,South,Home Office,Economy,Office Supplies,Storage,"Smead Folders, Wire Frame",0.1,60.0,-3.0,4,False,2011,2,-0.05
AZ-2011-2606042,2011-02-09,Piper Wilder-Neligan,Germany,Hesse,Frankfurt,Central,Consumer,Immediate,Office Supplies,Art,"Binney & Smith Pencil Sharpener, Fluorescent",0.0,133.0,5.0,5,True,2011,2,0.03759398496240601
AZ-2011-2606042,2011-02-09,Piper Wilder-Neligan,Germany,Hesse,Frankfurt,Central,Consumer,Immediate,Office Supplies,Binders,"Cardinal Binder Covers, Clear",0.0,80.0,21.0,7,True,2011,2,0.2625
AZ-2011-5195846,2011-02-09,Patricia Lukes,Netherlands,Overijssel,Almelo,Central,Corporate,Economy,Furniture,Furnishings,"Advantus Frame, Duo Pack",0.2,267.0,90.0,3,True,2011,2,0.33707865168539325
AZ-2011-5195846,2011-02-09,Patricia Lukes,Netherlands,Overijssel,Almelo,Central,Corporate,Economy,Office Supplies,Envelopes,"GlobeWeis Manila Envelope, Set of 50",0.5,55.0,-19.0,4,False,2011,2,-0.34545454545454546
AZ-2011-5195846,2011-02-09,Patricia Lukes,Netherlands,Overijssel,Almelo,Central,Corporate,Economy,Office Supplies,Storage,"Rogers Trays, Wire Frame",0.5,91.0,-2.0,3,True,2011,2,-0.02197802197802198
AZ-2011-7255147,2011-02-10,Lilian Macredie,Switzerland,Basel-Stadt,Basel,Central,Corporate,Economy,Furniture,Bookcases,"Sauder Library with Doors, Mobile",0.0,780.0,117.0,2,False,2011,2,0.15
AZ-2011-7255147,2011-02-10,Lilian Macredie,Switzerland,Basel-Stadt,Basel,Central,Corporate,Economy,Office Supplies,Art,"BIC Highlighters, Blue",0.0,19.0,8.0,1,False,2011,2,0.42105263157894735
AZ-2011-5676694,2011-02-10,Jasmine Slater,Spain,Madrid,Coslada,South,Corporate,Economy,Furniture,Bookcases,"Dania Classic Bookcase, Traditional",0.0,822.0,353.0,2,False,2011,2,0.42944038929440387
AZ-2011-5676694,2011-02-10,Jasmine Slater,Spain,Madrid,Coslada,South,Corporate,Economy,Office Supplies,Art,"Boston Highlighters, Easy-Erase",0.0,19.0,4.0,1,False,2011,2,0.21052631578947367
AZ-2011-819110,2011-02-10,Charlotte Taylor,France,Provence-Alpes-Côte d'Azur,Marseille,Central,Consumer,Economy,Office Supplies,Envelopes,"Kraft Clasp Envelope, with clear poly window",0.0,50.0,24.0,4,True,2011,2,0.48
AZ-2011-819110,2011-02-10,Charlotte Taylor,France,Provence-Alpes-Côte d'Azur,Marseille,Central,Consumer,Economy,Technology,Machines,"Panasonic Receipt Printer, Wireless",0.2,206.0,27.0,2,False,2011,2,0.13106796116504854
BN-2011-3032749,2011-02-10,Victoria Bell,Germany,Lower Saxony,Hanover,Central,Home Office,Immediate,Office Supplies,Binders,"Avery Binder Covers, Clear",0.5,26.0,-14.0,5,True,2011,2,-0.5384615384615384
BN-2011-3032749,2011-02-10,Victoria Bell,Germany,Lower Saxony,Hanover,Central,Home Office,Immediate,Office Supplies,Storage,"Tenex File Cart, Industrial",0.6,215.0,-220.0,4,True,2011,2,-1.0232558139534884
AZ-2011-6048331,2011-02-14,Kayleigh Farmer,Spain,Valenciana,Elda,South,Consumer,Economy Plus,Office Supplies,Art,"BIC Markers, Blue",0.0,26.0,1.0,1,False,2011,2,0.038461538461538464
AZ-2011-6048331,2011-02-14,Kayleigh Farmer,Spain,Valenciana,Elda,South,Consumer,Economy Plus,Office Supplies,Storage,"Eldon Box, Blue",0.1,9.0,2.0,1,False,2011,2,0.2222222222222222
BN-2011-493873,2011-02-15,Tyson Ebden,Netherlands,Overijssel,Hardenberg,Central,Consumer,Economy,Furniture,Bookcases,"Sauder Classic Bookcase, Pine",0.5,875.0,-577.0,4,False,2011,2,-0.6594285714285715
BN-2011-493873,2011-02-15,Tyson Ebden,Netherlands,Overijssel,Hardenberg,Central,Consumer,Economy,Furniture,Tables,"Barricks Coffee Table, Fully Assembled",0.7,273.0,-500.0,3,True,2011,2,-1.8315018315018314
BN-2011-408191,2011-02-15,Sophie Franklin,Spain,Andalusía,Seville,South,Corporate,Economy,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",0.2,728.0,-82.0,2,True,2011,2,-0.11263736263736264
BN-2011-408191,2011-02-15,Sophie Franklin,Spain,Andalusía,Seville,South,Corporate,Economy,Furniture,Furnishings,"Rubbermaid Door Stop, Erganomic",0.0,127.0,19.0,3,True,2011,2,0.14960629921259844
BN-2011-307477,2011-02-16,Maya O'Sullivan,France,Languedoc-Roussillon-Midi-Pyrénées,Muret,Central,Corporate,Economy Plus,Office Supplies,Art,"Stanley Highlighters, Easy-Erase",0.0,90.0,32.0,6,False,2011,2,0.35555555555555557
BN-2011-307477,2011-02-16,Maya O'Sullivan,France,Languedoc-Roussillon-Midi-Pyrénées,Muret,Central,Corporate,Economy Plus,Technology,Phones,"Nokia Audio Dock, VoIP",0.2,284.0,43.0,2,False,2011,2,0.15140845070422534
AZ-2011-8122214,2011-02-18,Ronald Everson,France,Bourgogne-Franche-Comté,Beaune,Central,Corporate,Economy,Office Supplies,Fasteners,"OIC Thumb Tacks, Assorted Sizes",0.0,35.0,14.0,3,False,2011,2,0.4
AZ-2011-9155070,2011-02-18,Julian Mack,France,Ile-de-France,Paris,Central,Consumer,Economy,Office Supplies,Binders,"Avery Hole Reinforcements, Durable",0.0,24.0,8.0,4,False,2011,2,0.3333333333333333
AZ-2011-9155070,2011-02-18,Julian Mack,France,Ile-de-France,Paris,Central,Consumer,Economy,Technology,Machines,"Panasonic Calculator, Durable",0.2,129.0,-2.0,3,False,2011,2,-0.015503875968992248
AZ-2011-2939440,2011-02-18,Tegan Savage,Germany,North Rhine-Westphalia,Castrop-Rauxel,Central,Consumer,Economy Plus,Office Supplies,Fasteners,"Advantus Thumb Tacks, Assorted Sizes",0.0,55.0,8.0,5,True,2011,2,0.14545454545454545
